,country,points,price,province,region_1,taster_name,variety,descLen,compound,year
2720,1,90,64.0,55,448,3,25,229,0.0,2006.0
4508,2,87,33.0,31,46,13,6,137,0.875,2012.0
7256,1,91,95.0,3,129,1,18,308,0.5719,2004.0
4551,3,88,25.0,4,32,3,4,270,0.8957,2010.0
3375,1,85,18.0,3,129,3,146,181,0.34,2011.0
5617,4,89,10.0,30,11,7,15,246,0.0516,2011.0
3026,1,88,52.0,19,122,1,25,317,0.3626,2013.0
3801,3,87,54.0,4,298,3,4,195,0.8074,2011.0
5371,2,86,14.0,6,33,2,20,175,-0.1027,2012.0
3570,11,90,24.0,25,257,9,36,271,0.0,2014.0
7475,3,88,20.0,5,67,5,9,274,0.7701,2012.0
9079,1,90,28.0,1,1,3,178,233,0.6249,2005.0
8817,3,90,45.0,4,154,4,47,138,0.4404,2013.0
5740,11,84,13.0,25,56,9,35,198,-0.2732,2014.0
7684,6,85,11.0,13,127,9,5,237,0.128,2012.0
5808,3,89,22.0,4,69,12,5,265,0.0,2014.0
2207,1,87,38.0,37,59,3,18,255,0.0,2005.0
3788,6,84,15.0,13,127,9,21,171,-0.4939,2010.0
4288,1,85,16.0,10,507,1,42,150,0.4767,2014.0
3053,2,87,23.0,31,46,2,51,227,0.8225,2013.0
5338,3,92,31.0,4,58,12,4,348,0.8126,2012.0
8663,1,88,50.0,1,382,1,23,206,0.8225,2007.0
4494,11,86,14.0,25,56,3,18,292,0.8363,1998.0
8182,2,91,42.0,33,52,2,48,277,0.8658,2011.0
417,2,86,12.0,6,9,2,8,264,0.5267,2014.0
1224,1,91,80.0,37,59,3,18,254,0.7902,2005.0
9444,1,93,150.0,3,3,1,3,326,0.8885,2010.0
7662,1,88,14.0,50,532,1,57,203,0.6808,2012.0
1786,2,88,28.0,52,90,2,19,234,0.0,2016.0
4065,3,93,30.0,4,7,12,15,387,0.9178,2015.0
3528,14,89,25.0,186,11,15,11,198,0.4404,2011.0
1206,6,80,8.0,13,127,9,26,177,0.5647,2007.0
5882,3,86,34.0,4,16,3,15,231,-0.4777,2007.0
923,1,85,10.0,1,260,3,35,286,0.8692,2008.0
8464,2,87,11.0,52,195,2,35,259,0.8555,2013.0
7838,1,89,22.0,19,50,1,7,235,0.4404,2013.0
849,2,94,75.0,41,104,2,5,292,0.8911,2011.0
5299,7,82,18.0,117,11,8,51,57,0.0,2005.0
1956,3,92,45.0,7,25,6,20,339,0.25,2011.0
6313,2,86,15.0,6,34,2,20,152,0.4404,2016.0
7974,1,87,10.0,3,587,1,18,238,-0.4215,2012.0
3146,8,92,20.0,110,11,13,84,383,0.976,2015.0
2973,3,92,30.0,7,25,10,30,254,0.8225,2011.0
6714,1,89,28.0,37,291,1,35,244,0.25,2016.0
1546,2,86,29.0,41,246,2,5,237,0.7717,2012.0
7378,3,90,40.0,4,5,4,17,279,0.5106,2013.0
2216,3,88,80.0,7,88,6,15,208,0.4767,2013.0
